
> sevenboard@0.1.0 dev:web
> npm run dev -w apps/web


> @sevenboard/web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.6.39:3000
- Environments: .env.local
✓ Ready in 3.5s

 GET /variance 200 in 822ms (next.js: 687ms, application-code: 134ms)
 GET /budget 200 in 405ms (next.js: 314ms, application-code: 91ms)
 GET /variable-cost 200 in 1947ms (next.js: 1459ms, application-code: 489ms)
 GET /variable-cost 200 in 692ms (next.js: 7ms, application-code: 685ms)
 GET / 200 in 299ms (next.js: 222ms, application-code: 77ms)
 GET /variable-cost 200 in 70ms (next.js: 6ms, application-code: 64ms)
 GET /cashflow 200 in 251ms (next.js: 184ms, application-code: 67ms)
 GET /comments 200 in 240ms (next.js: 175ms, application-code: 65ms)
 GET / 200 in 1034ms (next.js: 8ms, application-code: 1025ms)
 GET /select-org 200 in 1058ms (next.js: 749ms, application-code: 309ms)
 GET / 200 in 187ms (next.js: 22ms, application-code: 165ms)
 GET /variance 200 in 59ms (next.js: 6ms, application-code: 53ms)
 GET /budget 200 in 67ms (next.js: 5ms, application-code: 62ms)
 GET /variable-cost 200 in 60ms (next.js: 5ms, application-code: 55ms)
 GET /cashflow 200 in 45ms (next.js: 4ms, application-code: 41ms)
 GET /settings 200 in 261ms (next.js: 202ms, application-code: 59ms)
 GET /masters 200 in 79ms (next.js: 34ms, application-code: 45ms)
 GET /alerts 200 in 248ms (next.js: 191ms, application-code: 57ms)
 GET /select-org 200 in 147ms (next.js: 11ms, application-code: 136ms)
✓ Compiled in 373ms
 GET /alerts 200 in 684ms (next.js: 160ms, application-code: 524ms)
 GET /comments 200 in 686ms (next.js: 242ms, application-code: 443ms)
 GET /select-org 200 in 690ms (next.js: 436ms, application-code: 254ms)
 GET / 200 in 183ms (next.js: 99ms, application-code: 83ms)
 GET /alerts 200 in 190ms (next.js: 10ms, application-code: 180ms)
 GET /comments 200 in 278ms (next.js: 127ms, application-code: 151ms)
 GET /alerts 200 in 244ms (next.js: 51ms, application-code: 193ms)
 GET /select-org 200 in 278ms (next.js: 12ms, application-code: 266ms)
